707,961,893,967,893,995,706,989,
54,859,98,847,106,874,61,886,
685,792,915,795,915,821,684,819,
402,791,620,791,620,817,402,817,
730,757,869,760,868,784,729,781,
445,755,578,755,578,785,445,785,
238,754,338,758,338,784,237,781,
37,752,131,752,131,784,37,784,
646,728,949,728,949,755,646,755,
0,687,544,684,544,715,0,717,
1,653,188,653,188,680,1,680,
68,616,134,619,133,647,66,644,
760,607,814,607,814,631,760,631,
895,605,930,605,930,633,895,633,
19,604,40,604,40,632,19,632,
71,589,466,589,466,620,71,620,
74,562,154,566,153,590,73,586,
758,551,813,551,813,575,758,575,
893,548,927,548,927,577,893,577,
20,548,42,548,42,577,20,577,
73,532,443,537,443,564,72,559,
78,508,136,508,136,532,78,532,
755,492,813,492,813,520,755,520,
892,492,926,492,926,521,892,521,
22,493,44,493,44,520,22,520,
76,479,712,480,712,507,76,505,
273,437,525,442,525,472,273,468,
753,440,815,440,815,468,753,468,
10,440,61,440,61,469,10,469,
855,433,959,441,957,473,853,465,
4,392,255,392,255,419,4,419,
123,361,458,363,458,391,123,389,
123,332,933,329,933,359,123,361,
4,304,912,297,912,328,4,335,
5,271,840,267,840,299,6,303,
5,243,353,239,353,265,6,269,
548,239,817,239,817,261,548,261,
4,211,312,204,313,234,5,242,
679,204,893,204,893,231,679,231,
7,178,353,170,353,201,7,208,
679,169,780,169,780,197,679,197,
794,125,959,128,958,160,793,157,
275,128,689,120,690,158,276,167,
49,88,316,80,317,106,50,115,
657,81,904,81,904,108,657,108,
375,87,593,81,593,104,375,110,
270,68,297,68,297,77,270,77,
3,67,263,61,263,83,3,88,
656,45,814,45,814,72,656,72,
43,33,337,29,337,56,44,60,
654,15,866,13,866,36,655,37,
14,7,195,7,195,24,14,24,
