680,826,817,831,816,858,679,853,
704,707,764,707,764,791,704,791,
643,669,856,672,856,699,642,696,
383,668,589,669,589,696,383,695,
682,638,814,641,814,664,682,661,
424,639,544,639,544,665,424,665,
237,634,326,638,325,662,236,658,
54,629,139,632,138,660,53,657,
608,612,889,612,889,639,608,639,
6,571,517,572,517,604,5,603,
11,541,192,543,192,565,11,564,
83,511,439,513,439,540,83,537,
713,500,764,500,764,524,713,524,
832,499,878,499,878,524,832,524,
39,501,52,498,55,512,43,516,
89,483,599,488,598,513,89,508,
268,446,499,451,499,478,267,473,
709,449,765,449,765,473,709,473,
805,441,905,447,903,479,802,473,
26,447,75,447,75,472,26,472,
20,403,251,403,251,425,20,425,
18,367,803,363,803,397,18,401,
22,339,749,335,749,365,22,369,
26,312,342,312,342,333,26,333,
518,308,770,305,771,328,518,331,
27,284,128,284,128,307,27,307,
154,280,304,279,304,303,154,304,
639,274,845,269,846,296,640,300,
27,248,287,244,288,276,28,280,
642,241,736,241,736,268,642,268,
272,207,653,197,654,232,273,242,
747,197,908,197,908,228,747,228,
15,182,309,159,312,195,18,218,
367,164,563,160,563,183,367,187,
620,160,854,160,854,183,620,183,
143,145,289,145,289,163,143,163,
28,136,137,121,142,158,33,174,
622,127,769,127,769,149,622,149,
134,111,301,111,301,151,134,151,
620,95,819,93,820,116,621,117,
7,97,349,70,351,102,10,129,
781,8,944,11,943,76,780,73,
10,4,78,4,78,21,10,21,
