733,990,866,995,865,1027,732,1022,
443,871,554,871,554,907,443,907,
685,823,914,825,913,853,684,851,
400,819,622,821,622,852,399,849,
727,788,870,792,869,819,727,814,
245,785,339,788,338,815,244,812,
447,787,575,787,575,815,447,815,
45,784,136,784,136,816,45,816,
645,759,949,760,949,787,645,785,
0,720,545,715,546,745,0,751,
0,687,194,687,194,713,0,713,
74,651,215,651,215,677,74,677,
755,636,814,636,814,664,755,664,
25,639,46,639,46,665,25,665,
892,633,931,633,931,667,892,667,
221,625,713,625,713,648,221,648,
78,624,235,624,235,651,78,651,
81,594,157,598,156,622,80,618,
29,585,46,585,46,607,29,607,
755,579,813,579,813,607,755,607,
892,577,927,577,927,607,892,607,
83,568,489,567,490,593,83,595,
276,525,525,528,525,559,275,556,
14,528,67,528,67,557,14,557,
753,528,813,528,813,552,753,552,
856,518,959,525,959,557,854,550,
6,477,258,480,257,511,5,508,
128,453,330,452,330,479,128,480,
128,423,959,410,959,445,129,458,
128,396,954,382,955,413,129,427,
128,367,934,353,934,384,129,398,
11,339,905,324,906,356,11,371,
12,308,807,294,807,325,13,339,
13,279,354,272,355,298,14,306,
544,268,816,260,817,286,545,295,
15,251,164,246,165,273,16,278,
151,244,313,241,314,268,152,271,
676,231,891,225,892,253,677,259,
17,220,318,208,319,234,19,247,
673,195,779,190,780,222,675,227,
279,166,685,152,686,186,280,200,
791,151,958,148,959,180,791,183,
82,137,446,111,448,147,85,173,
432,118,590,110,591,133,433,140,
649,108,902,102,903,133,650,139,
16,110,302,91,303,117,17,135,
61,81,82,81,82,91,61,91,
650,75,812,70,813,97,651,102,
137,60,366,70,364,102,136,92,
99,65,122,61,125,75,101,79,
650,42,864,33,865,60,651,68,
112,53,412,30,414,58,115,81,
