732,987,855,987,855,1013,732,1013,
373,903,644,887,648,955,378,971,
461,845,553,839,556,894,465,900,
26,819,145,819,145,920,26,920,
684,817,902,822,901,850,683,845,
413,815,625,815,625,845,413,845,
724,788,859,791,859,814,724,811,
457,784,581,784,581,811,457,811,
261,782,355,786,354,810,260,806,
71,779,160,779,160,811,71,811,
645,757,934,759,934,787,645,785,
25,719,551,719,551,745,25,745,
29,685,217,685,217,712,29,712,
106,655,237,655,237,677,106,677,
880,643,914,643,914,671,880,671,
751,643,803,643,803,668,751,668,
57,640,78,640,78,667,57,667,
108,627,634,629,634,652,108,649,
110,601,177,601,177,624,110,624,
751,586,804,590,802,615,749,611,
877,588,912,588,912,615,877,615,
60,585,80,585,80,615,60,615,
106,572,499,573,499,600,106,599,
109,548,168,548,168,571,109,571,
108,521,327,523,327,545,108,544,
750,518,802,522,801,547,748,543,
875,520,911,520,911,547,875,547,
64,521,80,521,80,541,64,541,
111,489,552,491,552,521,110,520,
745,455,805,455,805,483,745,483,
296,450,532,456,531,484,296,478,
843,449,943,455,941,487,841,481,
48,453,98,453,98,479,48,479,
38,405,280,407,279,433,38,432,
154,380,856,379,856,409,154,411,
38,347,941,351,941,385,38,381,
44,324,745,324,745,349,44,349,
45,293,370,293,370,316,45,316,
554,293,811,291,811,313,554,316,
46,265,172,265,172,288,46,288,
174,260,332,257,333,284,175,287,
678,259,766,259,766,285,678,285,
42,229,335,225,336,256,43,260,
678,225,776,225,776,253,678,253,
789,185,944,188,943,215,788,212,
84,160,695,178,693,231,83,213,
655,141,892,143,892,169,654,168,
395,147,594,144,595,161,396,164,
39,121,368,119,368,149,40,152,
655,106,809,109,808,136,654,133,
53,88,403,85,404,117,53,120,
656,80,855,80,855,101,656,101,
536,14,721,0,724,17,539,35,
