612,943,956,921,959,988,617,1009,
11,867,106,851,114,895,19,912,
719,837,867,837,867,921,719,921,
427,849,450,849,450,867,427,867,
407,791,744,797,741,961,404,955,
29,800,78,800,78,859,29,859,
682,778,881,783,881,810,682,805,
401,781,589,781,589,804,401,804,
693,752,870,753,870,776,693,775,
440,745,547,748,546,776,439,773,
243,745,329,748,328,771,242,768,
57,740,138,743,137,772,56,769,
643,723,906,727,905,749,642,745,
2,681,303,684,303,711,1,708,
4,653,498,657,498,684,4,680,
675,624,906,628,905,651,675,647,
612,627,641,627,641,648,612,648,
503,622,550,626,548,650,501,646,
40,617,368,623,368,649,39,644,
30,627,42,627,42,639,30,639,
34,588,194,588,194,611,34,611,
62,558,236,563,236,586,61,581,
672,551,805,546,806,574,673,579,
614,551,641,551,641,573,614,573,
511,549,544,549,544,576,511,576,
31,551,44,551,44,565,31,565,
68,536,420,536,420,559,68,559,
614,511,642,511,642,532,614,532,
514,511,543,511,543,532,514,532,
672,508,805,505,806,532,673,535,
45,503,345,505,345,532,45,529,
30,508,48,508,48,525,30,525,
71,479,115,479,115,499,71,499,
612,469,641,469,641,491,612,491,
672,464,806,464,806,495,672,495,
506,464,551,464,551,495,506,495,
34,467,55,467,55,484,34,484,
66,451,462,455,462,481,65,477,
40,424,198,424,198,447,40,447,
750,390,858,394,857,418,750,414,
611,395,642,395,642,416,611,416,
502,392,554,392,554,416,502,416,
156,386,379,391,379,418,155,413,
26,388,63,388,63,413,26,413,
476,351,755,351,755,377,476,377,
17,345,146,350,145,380,16,376,
123,325,311,328,311,351,123,348,
19,301,394,301,394,328,19,328,
479,276,702,276,702,297,479,297,
19,275,318,273,318,296,19,297,
19,245,691,243,691,269,19,272,
20,219,305,212,306,238,21,246,
581,215,832,216,832,239,581,237,
745,185,887,188,886,211,744,208,
584,188,712,188,712,207,584,207,
22,190,293,184,293,210,22,216,
723,147,764,147,764,172,723,172,
384,146,565,141,566,173,385,178,
775,141,933,146,932,178,774,173,
368,113,574,111,574,132,368,135,
618,97,839,101,838,127,618,123,
20,94,305,85,306,112,21,120,
619,69,756,72,755,95,619,92,
620,44,806,44,806,65,620,65,
14,59,324,34,327,74,17,99,
36,11,220,1,221,28,38,38,
