342,963,659,960,660,1057,343,1060,
667,972,782,975,781,1003,667,1000,
53,871,102,871,102,908,53,908,
395,845,556,845,556,972,395,972,
622,814,825,820,824,847,622,841,
370,812,567,816,567,843,369,838,
662,785,787,790,786,812,661,808,
410,780,527,783,526,811,409,808,
225,781,316,781,316,808,225,808,
46,774,131,778,130,810,45,806,
588,756,858,760,857,787,588,783,
0,719,499,719,499,745,0,745,
2,684,183,687,182,713,1,711,
78,657,132,657,132,681,78,681,
810,648,843,648,843,675,810,675,
690,645,738,649,736,674,688,670,
31,644,49,644,49,667,31,667,
79,629,303,631,303,655,79,653,
83,607,140,607,140,629,83,629,
810,597,843,597,843,624,810,624,
687,597,738,597,738,621,687,621,
34,593,50,593,50,619,34,619,
81,579,431,580,431,608,80,607,
82,553,165,556,164,579,82,576,
687,533,738,533,738,557,687,557,
809,532,843,532,843,560,809,560,
86,533,215,533,215,552,86,552,
40,532,52,532,52,547,40,547,
82,501,529,504,529,531,82,528,
779,466,873,473,871,501,777,494,
685,469,742,469,742,497,685,497,
260,465,484,471,484,499,259,493,
20,464,72,464,72,493,20,493,
15,421,244,421,244,448,15,448,
126,399,631,401,631,428,125,425,
14,369,841,371,841,403,14,401,
15,340,761,344,761,375,15,371,
504,317,746,316,746,339,505,340,
19,313,330,316,330,339,19,336,
19,284,149,287,148,310,19,307,
620,284,818,281,818,308,621,311,
147,285,293,285,293,308,147,308,
623,253,715,253,715,280,623,280,
18,248,338,252,338,284,18,280,
263,213,631,211,631,245,263,248,
724,211,881,211,881,241,724,241,
356,175,544,175,544,196,356,196,
603,171,828,171,828,197,603,197,
17,148,288,151,288,172,16,169,
604,141,746,141,746,164,604,164,
30,109,328,107,329,143,30,145,
601,111,793,108,794,131,602,133,
52,60,315,64,315,95,52,91,
428,29,548,29,548,77,428,77,
17,21,370,27,369,62,16,56,
125,9,308,7,308,29,126,32,
