667,1099,811,1099,811,1129,667,1129,
427,1065,511,1065,511,1152,427,1152,
526,1060,615,1060,615,1116,526,1116,
480,977,562,977,562,1043,480,1043,
633,935,841,937,841,965,633,963,
375,935,577,935,577,961,375,961,
673,904,801,907,800,930,672,927,
224,903,315,903,315,929,224,929,
412,897,536,900,535,932,412,929,
35,897,124,897,124,931,35,931,
597,873,871,876,871,904,597,901,
0,838,504,829,505,865,0,874,
0,804,180,801,180,832,0,835,
67,773,167,776,166,803,67,800,
822,761,856,761,856,789,822,789,
698,757,752,761,750,790,696,786,
23,760,45,760,45,785,23,785,
74,747,305,747,305,773,74,773,
69,721,168,724,167,751,68,748,
821,709,855,709,855,736,821,736,
700,709,749,709,749,735,700,735,
46,713,56,713,56,727,46,727,
27,709,52,709,52,732,27,732,
72,695,437,691,438,720,73,724,
75,672,326,672,326,699,75,699,
697,659,747,659,747,683,697,683,
33,663,45,663,45,679,33,679,
820,657,854,657,854,684,820,684,
76,644,335,644,335,671,76,671,
79,617,191,622,190,648,77,644,
697,605,748,609,746,634,695,630,
818,607,852,607,852,633,818,633,
34,611,46,611,46,627,34,627,
79,592,416,596,416,623,79,619,
83,572,200,572,200,595,83,595,
698,555,748,559,746,585,696,581,
818,557,852,557,852,585,818,585,
33,556,53,556,53,583,33,583,
85,545,453,548,453,571,84,568,
89,525,164,525,164,544,89,544,
702,508,745,508,745,533,702,533,
818,507,852,507,852,535,818,535,
38,508,55,508,55,529,38,529,
86,493,379,495,379,523,86,521,
264,454,494,459,493,490,263,485,
694,457,751,457,751,485,694,485,
23,457,75,457,75,487,23,487,
787,451,886,458,883,490,785,483,
18,412,252,412,252,443,18,443,
130,389,202,389,202,413,130,413,
128,360,888,359,888,389,128,391,
127,335,886,331,886,361,127,365,
18,307,884,304,884,336,18,339,
19,280,894,276,895,305,19,309,
20,252,341,251,341,277,21,279,
511,251,759,248,760,273,512,276,
22,227,300,221,300,248,22,254,
634,221,826,221,826,244,634,244,
23,196,311,192,311,219,23,223,
633,188,725,188,725,215,633,215,
734,146,892,150,891,182,733,178,
266,151,640,144,641,178,266,186,
13,136,318,111,322,151,16,176,
611,107,839,108,839,135,611,133,
21,87,283,76,284,106,23,118,
614,79,758,79,758,100,614,100,
612,48,804,47,805,69,612,71,
12,43,239,37,240,77,13,83,
219,39,331,30,333,57,221,66,
