643,781,801,787,800,814,642,808,
699,690,759,703,751,738,690,725,
627,644,818,644,818,667,627,667,
390,638,576,643,575,666,390,661,
662,612,780,615,780,638,661,634,
428,612,537,612,537,635,428,635,
255,611,338,611,338,633,255,633,
90,607,166,607,166,631,90,631,
596,589,847,589,847,612,596,612,
45,551,510,552,510,579,45,577,
49,524,215,524,215,547,49,547,
116,496,331,497,331,520,116,519,
689,487,736,487,736,511,689,511,
802,485,836,485,836,512,802,512,
80,489,87,489,87,497,80,497,
119,472,479,475,479,497,119,495,
773,437,865,443,863,470,771,463,
689,441,739,441,739,465,689,465,
284,436,495,442,494,468,283,462,
60,437,106,437,106,463,60,463,
53,396,270,399,270,421,53,419,
53,364,698,365,698,396,53,395,
57,340,869,340,869,365,57,365,
517,313,747,313,747,335,517,335,
59,313,355,313,355,335,59,335,
58,285,160,288,159,310,57,306,
179,285,318,285,318,307,179,307,
627,284,705,284,705,307,627,307,
57,256,337,253,337,280,57,283,
627,249,716,252,715,280,626,277,
723,213,870,213,870,244,723,244,
289,216,635,213,636,244,289,247,
608,177,820,179,819,201,608,200,
375,179,556,177,556,196,375,197,
80,159,309,157,310,176,81,177,
609,146,743,149,743,172,608,169,
36,133,313,114,316,149,38,167,
610,120,788,120,788,141,610,141,
51,91,296,74,298,102,53,119,
2,58,338,39,340,71,4,90,
