672,854,834,860,833,887,671,881,
727,761,821,761,821,809,727,809,
117,753,160,753,160,784,117,784,
652,704,855,708,855,735,652,730,
404,700,602,704,601,730,403,725,
692,676,816,679,815,702,691,698,
444,669,561,672,560,699,443,696,
264,666,351,671,350,695,263,690,
87,661,169,664,168,692,86,689,
618,646,888,652,887,679,618,673,
38,605,533,611,533,637,38,632,
41,573,222,576,222,603,41,600,
116,546,424,555,424,578,116,569,
840,544,873,544,873,571,840,571,
721,539,771,543,769,569,719,565,
72,535,90,535,90,555,72,555,
120,520,611,528,611,555,120,547,
123,499,276,501,275,523,123,520,
723,495,770,495,770,519,723,519,
840,493,871,493,871,521,840,521,
76,485,93,485,93,507,76,507,
123,473,484,480,484,503,123,496,
123,451,404,455,403,477,123,473,
840,447,873,447,873,471,840,471,
721,445,770,445,770,469,721,469,
79,440,93,440,93,452,79,452,
124,422,516,431,515,454,124,445,
720,397,773,397,773,423,720,423,
810,393,902,399,900,427,808,421,
298,389,520,395,519,422,297,416,
64,388,112,388,112,412,64,412,
55,340,285,346,284,378,54,372,
169,325,203,325,203,345,169,345,
56,293,885,300,885,331,56,324,
60,265,867,273,867,300,60,292,
541,243,780,244,780,267,541,265,
64,240,371,240,371,261,64,261,
659,215,739,215,739,237,659,237,
63,211,334,209,334,236,63,237,
657,181,749,184,748,212,656,209,
65,184,270,184,270,207,65,207,
756,145,910,150,909,180,755,176,
307,144,667,144,667,175,307,175,
636,105,858,109,857,135,635,131,
394,105,585,105,585,127,394,127,
640,76,779,79,778,102,639,99,
51,81,341,66,343,106,53,121,
638,47,825,48,825,71,638,69,
119,43,203,43,203,65,119,65,
70,40,128,40,128,63,70,63,
211,35,320,30,321,52,212,56,
46,7,218,4,218,27,47,29,
215,8,244,8,244,21,215,21,
