666,986,787,990,786,1016,665,1013,
473,975,481,975,481,981,473,981,
316,923,571,923,571,1044,316,1044,
621,822,834,830,832,860,620,853,
365,818,566,823,565,851,364,846,
662,793,793,799,791,826,661,820,
404,786,525,790,524,818,403,814,
217,787,308,787,308,813,217,813,
35,780,120,783,119,812,34,809,
587,764,865,771,864,798,586,790,
4,721,495,721,495,752,4,752,
5,689,173,689,173,716,5,716,
68,658,126,662,124,686,66,682,
814,657,848,657,848,684,814,684,
690,653,741,657,739,682,688,678,
23,647,44,647,44,673,23,673,
70,633,427,637,427,664,69,660,
77,609,154,612,153,635,76,632,
813,605,845,605,845,633,813,633,
691,605,740,605,740,629,691,629,
26,597,44,597,44,620,26,620,
72,583,327,585,327,612,72,609,
77,558,148,562,146,586,76,582,
813,556,845,556,845,583,813,583,
690,555,739,555,739,579,690,579,
30,548,48,548,48,569,30,569,
77,532,447,539,447,566,76,559,
82,509,272,515,271,538,82,532,
811,504,847,504,847,532,811,532,
694,503,736,503,736,529,694,529,
33,496,50,496,50,517,33,517,
78,481,371,488,370,514,77,506,
780,449,880,455,878,487,778,481,
687,452,745,452,745,481,687,481,
256,445,486,451,485,482,255,476,
16,444,67,444,67,473,16,473,
10,400,242,403,241,429,9,427,
117,376,831,380,830,415,117,411,
120,351,867,355,867,385,120,381,
12,321,873,329,873,360,12,352,
14,293,570,300,570,327,14,320,
506,272,749,272,749,293,506,293,
14,264,327,267,327,293,14,291,
626,240,708,240,708,263,626,263,
17,237,149,240,148,263,16,260,
142,233,293,236,293,263,142,260,
625,207,717,207,717,235,625,235,
18,205,260,205,260,232,18,232,
730,167,886,167,886,199,730,199,
262,165,634,164,634,199,262,200,
22,134,301,128,302,160,22,166,
603,127,831,128,830,155,603,153,
355,127,547,127,547,148,355,148,
603,94,750,98,750,124,603,121,
15,91,282,86,282,121,15,126,
604,69,798,69,798,92,604,92,
0,51,341,46,341,87,0,91,
541,40,575,40,575,53,541,53,
