1321,1768,1609,1774,1608,1827,1320,1821,
911,1645,1017,1645,1017,1696,911,1696,
1290,1501,1645,1501,1645,1547,1290,1547,
840,1504,1197,1501,1197,1547,840,1549,
1361,1451,1574,1451,1574,1488,1361,1488,
916,1451,1121,1451,1121,1488,916,1488,
586,1448,745,1448,745,1493,586,1493,
273,1443,420,1443,420,1491,273,1491,
1230,1400,1699,1400,1699,1443,1230,1443,
180,1331,1071,1322,1072,1386,180,1395,
194,1283,510,1283,510,1325,194,1325,
314,1224,731,1230,731,1275,313,1269,
1405,1199,1499,1207,1494,1254,1401,1247,
1620,1205,1675,1205,1675,1253,1620,1253,
243,1211,267,1211,267,1243,243,1243,
319,1179,1219,1184,1219,1229,319,1224,
323,1135,470,1142,468,1179,321,1173,
327,1099,998,1099,998,1133,327,1133,
1375,1096,1525,1096,1525,1133,1375,1133,
1617,1093,1675,1093,1675,1139,1617,1139,
243,1096,281,1096,281,1131,243,1131,
322,1048,1344,1043,1345,1085,322,1091,
327,1005,731,1005,731,1048,327,1048,
1402,972,1498,980,1495,1028,1398,1020,
243,984,278,984,278,1019,243,1019,
1617,979,1675,979,1675,1024,1617,1024,
322,957,903,960,903,1003,322,1000,
641,896,1042,896,1042,941,641,941,
1399,893,1497,893,1497,941,1399,941,
1563,884,1728,897,1724,945,1559,932,
213,888,300,888,300,939,213,939,
197,808,614,816,613,870,196,861,
401,773,1533,773,1533,824,401,824,
199,720,1696,723,1696,776,199,773,
202,675,1740,675,1740,725,202,725,
1075,627,1503,627,1503,669,1075,669,
202,619,769,624,769,669,202,664,
1276,573,1622,571,1623,616,1277,619,
436,576,698,576,698,613,436,613,
204,565,432,577,429,622,201,610,
1279,520,1440,520,1440,565,1279,565,
199,512,736,515,736,568,199,565,
1456,448,1735,448,1735,501,1456,501,
641,445,1301,443,1301,504,641,507,
807,384,1145,384,1145,419,807,419,
1241,379,1639,376,1639,421,1241,424,
181,365,710,376,708,432,180,421,
333,336,576,339,575,365,333,363,
1246,328,1492,328,1492,365,1246,365,
211,266,688,278,686,339,209,328,
1241,272,1576,266,1577,309,1241,315,
110,208,789,222,787,275,109,261,
862,152,1045,152,1045,248,862,248,
