300,25,586,25,586,60,300,60,
1416,25,1819,25,1819,69,1416,69,
648,25,700,25,700,44,648,44,
108,65,683,65,683,125,108,125,
1411,73,1709,73,1709,118,1411,118,
848,73,1169,73,1169,111,848,111,
1085,229,1326,229,1326,317,1085,317,
126,229,913,229,913,291,126,291,
264,326,793,326,793,379,264,379,
253,379,536,379,536,421,253,421,
1432,379,1818,379,1818,414,1432,414,
198,421,831,421,831,490,198,490,
1430,421,1714,421,1714,466,1430,466,
922,493,1314,493,1314,528,922,528,
1432,493,1882,493,1882,535,1432,535,
734,576,1492,576,1492,636,734,636,
1684,576,1913,576,1913,628,1684,628,
217,653,896,653,896,708,217,708,
1471,653,1647,653,1647,699,1471,699,
213,717,791,717,791,770,213,770,
1473,717,1590,717,1590,752,1473,752,
210,787,869,787,869,832,210,832,
1233,787,1723,787,1723,823,1233,823,
210,843,1775,843,1775,895,210,895,
210,901,1895,901,1895,954,210,954,
442,957,1896,957,1896,1013,442,1013,
211,1013,687,1013,687,1066,211,1066,
246,1101,333,1101,333,1134,246,1134,
1787,1101,1917,1101,1917,1160,1787,1160,
726,1101,1183,1101,1183,1153,726,1153,
1604,1101,1702,1101,1702,1133,1604,1133,
363,1176,1179,1176,1179,1221,363,1221,
290,1208,303,1208,303,1240,290,1240,
1844,1208,1895,1208,1895,1248,1844,1248,
1606,1208,1699,1208,1699,1242,1606,1242,
365,1235,946,1235,946,1277,365,1277,
360,1277,1120,1277,1120,1330,360,1330,
281,1309,303,1309,303,1342,281,1342,
1841,1309,1891,1309,1891,1348,1841,1348,
1606,1309,1695,1309,1695,1343,1606,1343,
365,1336,682,1336,682,1376,365,1376,
363,1387,1375,1387,1375,1432,363,1432,
1830,1387,1904,1387,1904,1426,1830,1426,
280,1387,300,1387,300,1420,280,1420,
1607,1387,1698,1387,1698,1422,1607,1422,
358,1435,998,1435,998,1480,358,1480,
368,1491,822,1491,822,1533,368,1533,
1841,1491,1891,1491,1891,1531,1841,1531,
1606,1491,1696,1491,1696,1525,1606,1525,
277,1491,300,1491,300,1524,277,1524,
357,1541,829,1541,829,1587,357,1587,
213,1594,573,1594,573,1639,213,1639,
196,1664,1215,1664,1215,1720,196,1720,
1410,1736,1910,1736,1910,1781,1410,1781,
318,1784,474,1784,474,1831,318,1831,
1044,1784,1275,1784,1275,1838,1044,1838,
1560,1784,1795,1784,1795,1818,1560,1818,
679,1784,849,1784,849,1820,679,1820,
1475,1848,1869,1848,1869,1895,1475,1895,
968,1848,1366,1848,1366,1896,968,1896,
1642,1973,1778,1973,1778,2040,1642,2040,
1003,1973,1239,1973,1239,2069,1003,2069,
1511,2158,1833,2158,1833,2208,1511,2208,
941,2158,1210,2158,1210,2267,941,2267,
1227,2158,1415,2158,1415,2254,1227,2254,
