658,39,813,39,813,77,658,77,
1759,80,1844,80,1844,107,1759,107,
1335,129,1643,129,1643,158,1335,158,
1663,187,1788,187,1788,214,1663,214,
227,290,824,290,824,341,227,341,
1208,325,1533,325,1533,357,1208,357,
265,349,327,349,327,376,265,376,
417,349,597,349,597,376,417,376,
607,349,725,349,725,393,607,393,
1214,384,1455,384,1455,419,1214,419,
205,384,333,384,333,419,205,419,
483,408,652,408,652,427,483,427,
1208,437,1590,437,1590,476,1208,476,
299,437,783,437,783,492,299,492,
1015,437,1114,437,1114,462,1015,462,
764,492,829,492,829,518,764,518,
1424,492,1684,492,1684,537,1424,537,
630,518,1259,518,1259,571,630,571,
1246,573,1396,573,1396,611,1246,611,
215,573,613,573,613,617,215,617,
1252,632,1351,632,1351,661,1252,661,
438,632,684,632,684,665,438,665,
265,632,429,632,429,670,265,670,
217,680,750,680,750,718,217,718,
1050,680,1461,680,1461,711,1050,711,
210,733,1432,733,1432,778,210,778,
213,781,1554,781,1554,823,213,823,
398,827,1573,827,1573,869,398,869,
401,872,1660,872,1660,914,401,914,
398,920,1627,920,1627,959,398,959,
404,963,816,963,816,1006,404,1006,
211,1006,591,1006,591,1051,211,1051,
236,1080,308,1080,308,1108,236,1108,
1361,1080,1445,1080,1445,1108,1361,1108,
1519,1080,1666,1080,1666,1120,1519,1120,
627,1080,1007,1080,1007,1125,627,1125,
326,1149,954,1149,954,1195,326,1195,
273,1149,284,1149,284,1177,273,1177,
1364,1149,1441,1149,1441,1181,1364,1181,
1568,1149,1612,1149,1612,1183,1568,1183,
338,1195,439,1195,439,1229,338,1229,
327,1232,1297,1232,1297,1273,327,1273,
267,1232,286,1232,286,1260,267,1260,
1568,1232,1612,1232,1612,1265,1568,1265,
1366,1232,1445,1232,1445,1268,1366,1268,
333,1280,420,1280,420,1314,333,1314,
327,1323,1225,1323,1225,1359,327,1359,
264,1323,281,1323,281,1351,264,1351,
1366,1323,1445,1323,1445,1355,1366,1355,
1571,1323,1616,1323,1616,1356,1571,1356,
330,1365,417,1365,417,1400,330,1400,
325,1408,1088,1408,1088,1445,325,1445,
250,1456,270,1456,270,1483,250,1483,
1366,1456,1444,1456,1444,1488,1366,1488,
1571,1456,1610,1456,1610,1490,1571,1490,
329,1456,554,1456,554,1493,329,1493,
325,1499,445,1499,445,1535,325,1535,
318,1541,922,1541,922,1580,318,1580,
1372,1541,1451,1541,1451,1572,1372,1572,
1574,1541,1619,1541,1619,1576,1574,1576,
243,1541,262,1541,262,1566,243,1566,
310,1587,413,1587,413,1627,310,1627,
191,1640,494,1640,494,1678,191,1678,
177,1693,1040,1693,1040,1743,177,1743,
1203,1757,1660,1757,1660,1797,1203,1797,
265,1800,399,1800,399,1839,265,1839,
574,1800,720,1800,720,1831,574,1831,
889,1800,1087,1800,1087,1837,889,1837,
1330,1800,1543,1800,1543,1838,1330,1838,
821,1859,1164,1859,1164,1900,821,1900,
1260,1859,1607,1859,1607,1900,1260,1900,
946,1915,1052,1915,1052,2015,946,2015,
251,1915,352,1915,352,2027,251,2027,
892,2037,1075,2037,1075,2120,892,2120,
1129,2037,1192,2037,1192,2080,1129,2080,
1294,2128,1579,2128,1579,2168,1294,2168,
